Neighborhood,Latitude,Longitude
East Tamaki Heights,-36.94285563799997,174.92577764100008
Eastern Beach,-36.868199999999945,174.90019000000007
Farm Cove,-36.88819999999998,174.88019000000008
Favona,-36.94819999999993,174.80019000000004
Flamboro Heights,-36.84839904099994,174.76438785300002
Flat Bush,-36.971663268999976,174.92774426800008
Golflands,-36.92307999999997,174.90947000000006
Goodwood Heights,-36.99377275799998,174.89719260100003
Greenmeadows,-37.02972554615429,174.9075820280643
Half Moon Bay,-36.878199999999936,174.89019000000008
Heron Point,-36.9194498739822,174.88429850574516
Highland Park,-36.90453466699995,174.90844815000003
Hillpark,-36.89319996018577,174.93135510707805
Howick,-36.883329999999944,174.93333000000007
Huntington Park,-36.93136167399996,174.90666198400004
Kawakawa Bay,-36.80725980022275,174.6013315704046
Mahia Park,-37.04934999999995,174.8951300000001
Mangere,-36.98083992599993,174.78159438300008
Mangere Bridge,-36.93819999999994,174.77019000000007
Mangere East,-36.96623555899998,174.82362400600005
Manukau,-36.99068528199996,174.87609021700007
Manukau Heights,-36.890447049877395,174.7749650831431
Manurewa,-37.02224813799995,174.8892156280001
Maraetai,-36.88773456699994,175.03803943100002
Meadowlands,-36.908781010716226,174.941210669063
Mellons Bay,-36.878199999999936,174.92019000000005
Middlemore,-36.96620880221493,174.84472997194283
Murphys Heights,-36.989479948295966,174.91552009941802
North Park,-36.92049107899993,174.9197533900001
Orere Point,-36.94819999999993,175.24020000000007
Ormiston,-36.96183109697076,174.89156532306023
Otara,-36.96216999999996,174.87485000000004
Pakuranga,-36.91453774799993,174.87292413700004
Pakuranga Heights,-36.91225803399993,174.89330567600007
Papatoetoe,-36.97691968699996,174.8553791180001
Randwick Park,-37.02382377999993,174.91805594000004
Settlers Cove,-37.04280632159315,174.86273609933738
Shelly Park,-36.90831999999995,174.94513000000006
Silkwood Heights,-36.99793194232524,174.90428218864517
Somerville,-36.91378098599995,174.9336979850001
Sunnyhills,-36.901522357999966,174.88590635600008
The Gardens,-37.00227371899996,174.9126798850001
Totara Heights,-37.00195255199998,174.90053395300004
Tuscany Estate,-36.84371310698084,174.65367854898898
Waimahia Landing,-37.04349703095578,174.86875555384395
Wattle Cove,-36.8939930157754,174.6389419369293
Wattle Downs,-37.04744998299998,174.8865943500001
Weymouth,-37.04819999999995,174.8501900000001
Whitford,-36.933329999999955,174.96667000000002
Wiri,-37.006083529999955,174.84963197500008
Alfriston,-37.010493372999974,174.9408516090001
Ardmore,-36.847859693114465,174.73708327694862
Conifer Grove,-36.94639497527219,174.78240005429015
Drury,-36.90346972837682,174.68749158680228
Longford Park,-36.913682511647764,174.83702036797192
Manurewa East,-37.02521346499998,174.90603708000003
Opaheke,-37.108199999999954,175.00020000000006
Pahurehure,-37.05819999999994,174.92019000000005
Papakura,-35.65817999999996,174.05018000000007
Runciman,-36.84839904099994,174.76438785300002
Red Hill,-36.84818999999993,175.71021000000007
Rosehill,-36.84839904099994,174.76438785300002
Takanini,-37.04819999999995,174.90019000000007
Awhitu,-36.84839904099994,174.76438785300002
Ararimu,-36.84839904099994,174.76438785300002
Bombay,-36.84839904099994,174.76438785300002
Buckland,-36.96863008807803,174.82312423165078
Clarks Beach,-36.79402013081132,174.64624610339612
Hunua,-36.84839904099994,174.76438785300002
Karaka,-37.128199999999936,175.5502100000001
Karaka Harbourside,-36.886340043023495,174.98931628154253
Kingseat,-36.87663999999995,174.77902000000006
Manukau Heads,-36.99068528199996,174.87609021700007
Paerata,-36.88704496104598,174.85921508393213
Paparimu,-36.84839904099994,174.76438785300002
Patumahoe,-36.84839904099994,174.76438785300002
Pollok,-36.84839904099994,174.76438785300002
Pukekohe,-36.02818999999994,174.21018000000004
Waiau Pa,-36.69391743721846,174.7543610483759
Waiuku,-36.84839904099994,174.76438785300002
Anawhata,-36.92277385299997,174.49136392800006
Cornwallis,-36.99020680499996,174.59985138100012
Bethells Beach,-36.86854928777233,174.49077401819866
Glen Eden,-36.91321281199998,174.6436004950001
Glendene,-36.89040931599993,174.65424002200007
Green Bay,-36.878199999999936,175.16020000000003
Henderson,-36.87978551799995,174.6229348280001
Henderson Valley,-36.90461508599998,174.5629412830001
Herald Island,-36.77914330599998,174.65655684700005
Hobsonville,-36.799999999999955,174.66667000000007
Huia,-36.99902703099997,174.53936316500005
Karekare,-36.986449999999934,174.4795600000001
Kaurilands,-36.92163996719383,174.6480300997487
Kelston,-36.89869216699998,174.6646582080001
Konini,-36.92819999999995,174.64019000000008
Laingholm,-36.96393673799997,174.6300857340001
Lincoln,-36.858199999999954,174.6201900000001
McLaren Park,-36.88819999999998,174.6101900000001
Massey,-36.838735792999955,174.60084679600004
New Lynn,-36.91303689899996,174.67881343600004
Oratia,-36.927315473999954,174.61179251900012
Parau,-36.966669999999965,174.6166700000001
Piha,-36.944089393202155,174.54741784202986
Rānui,-36.865025886999945,174.60132633800004
Royal Heights,-36.87703554253137,174.74342091048524
Sunnyvale,-36.898464967999985,174.63652740600003
Swanson,-36.873783764999985,174.5694064050001
Te Atatū,-36.83332999999993,174.6500000000001
Te Atatū Peninsula,-36.840713998999945,174.6499846360001
Te Atatū South,-36.86955831299997,174.64733098800002
Titirangi,-36.94049500899996,174.64725141700012
Waiatarua,-36.93404751399993,174.56408370200006
Westgate,-36.821519999999964,174.61187000000007
West Harbour,-36.81577369099995,174.63195799100004
Western Heights,-36.878199999999936,174.6101900000001
Whenuapai,-36.78777999999994,174.63028000000008
Algies Bay,-36.84839904099994,174.76438785300002
Arkles Bay,-36.893032142859944,174.88018618006564
Army Bay,-36.59818999999993,174.81019000000003
Big Omaha,-36.84839904099994,174.76438785300002
